customerID,gender,PhoneService,InternetService,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,No,DSL,No,Month-to-month,Yes,Electronic check,29.85,29.85,No
5575-GNVDE,Male,Yes,DSL,No,One year,No,Mailed check,56.95,1889.5,No
3668-QPYBK,Male,Yes,DSL,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes
7795-CFOCW,Male,No,DSL,No,One year,No,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,Female,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
9305-CDSKC,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
1452-KIOVK,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No
6713-OKOMC,Female,No,DSL,No,Month-to-month,No,Mailed check,29.75,301.9,No
7892-POOKP,Female,Yes,Fiber optic,,Month-to-month,Yes,Electronic check,,3046.05,Yes
6388-TABGU,Male,Yes,DSL,No,One year,No,Bank transfer (automatic),56.15,3487.95,No
9763-GRSKD,Male,Yes,DSL,No,Month-to-month,Yes,Mailed check,49.95,587.45,No
7469-LKBCI,Male,Yes,No,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No
8091-TTVAX,Male,Yes,Fiber optic,Yes,One year,No,Credit card (automatic),100.35,5681.1,No
0280-XJGEX,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes
5129-JLPIS,Male,Yes,Fiber optic,,Month-to-month,Yes,Electronic check,,2686.05,No
3655-SNQYZ,Female,Yes,Fiber optic,,Two year,No,Credit card (automatic),,7895.15,No
8191-XWSZG,Female,Yes,No,No internet service,One year,No,Mailed check,20.65,1022.95,No
9959-WOFKT,,Yes,,,Two year,No,Bank transfer (automatic),,7382.25,No
4190-MFLUW,Female,Yes,DSL,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes
4183-MYFRB,,Yes,,,Month-to-month,Yes,Electronic check,,1862.9,No
8779-QRDMV,Male,No,DSL,No,Month-to-month,Yes,Electronic check,39.65,39.65,Yes
1680-VDCWW,Male,Yes,No,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No
1066-JKSGK,Male,Yes,No,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes
3638-WEABW,,Yes,,,Two year,Yes,Credit card (automatic),,3505.1,No
6322-HRPFA,Male,Yes,DSL,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No
6865-JZNKO,Female,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No
6467-CHFZW,Male,Yes,Fiber optic,,Month-to-month,Yes,Electronic check,,4749.15,Yes
8665-UTDHZ,Male,No,DSL,No,Month-to-month,No,Electronic check,30.2,30.2,Yes
5248-YGIJN,Male,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No
8773-HHUOZ,Female,Yes,DSL,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes
3841-NFECX,Female,Yes,Fiber optic,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No
4929-XIHVW,,Yes,,,Month-to-month,Yes,Credit card (automatic),,181.65,No
6827-IEAUQ,Female,Yes,DSL,No,One year,No,Mailed check,66.15,1874.45,No
7310-EGVHZ,Male,Yes,No,,Month-to-month,No,Bank transfer (automatic),,20.2,No
3413-BMNZE,Male,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,Female,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7,No
6047-YHPVI,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes
6572-ADKRS,,Yes,,,Month-to-month,Yes,Credit card (automatic),,3548.3,No
5380-WJKOV,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes
8168-UQWWF,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes
8865-TNMNX,Male,Yes,DSL,No,One year,No,Mailed check,49.55,475.7,No
9489-DEDVP,Female,Yes,,,Two year,Yes,Credit card (automatic),,4872.35,No
9867-JCZSP,Female,Yes,No,No internet service,One year,No,Mailed check,20.75,418.25,No
4671-VJLCL,Female,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45,No
4080-IIARD,Female,Yes,DSL,,Month-to-month,Yes,Electronic check,,981.45,No
3714-NTNFO,Female,Yes,Fiber optic,,Month-to-month,Yes,Electronic check,,3906.7,No
5948-UJZLF,Male,Yes,DSL,No,Month-to-month,No,Mailed check,49.25,97,No
7760-OYPDY,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,80.65,144.15,Yes
7639-LIAYI,Male,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No
2954-PIBKO,Female,Yes,DSL,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No
8012-SOUDQ,,Yes,,,Month-to-month,Yes,Electronic check,,3838.75,No
9420-LOJKX,Female,Yes,Fiber optic,,Month-to-month,Yes,Credit card (automatic),,1426.4,Yes
6575-SUVOI,Female,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No
7495-OOKFY,Female,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes
4667-QONEA,Female,Yes,DSL,No,One year,Yes,Credit card (automatic),74.85,4456.35,No
1658-BYGOY,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes
8769-KKTPH,Female,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No
5067-XJQFU,Male,Yes,Fiber optic,Yes,One year,Yes,Electronic check,108.45,7076.35,No
3957-SQXML,Female,Yes,No,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No
5954-BDFSG,Female,Yes,Fiber optic,,Two year,Yes,Credit card (automatic),,7853.7,No
0434-CSFON,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No
1215-FIGMP,,Yes,,,Month-to-month,Yes,Bank transfer (automatic),,5450.7,No
0526-SXDJP,Male,No,DSL,No,Two year,No,Bank transfer (automatic),42.1,2962,No
0557-ASKVU,Female,Yes,DSL,,One year,Yes,Credit card (automatic),,957.1,No
5698-BQJOH,Female,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes
5122-CYFXA,Female,Yes,,,Month-to-month,Yes,Electronic check,,244.1,No
8627-ZYGSZ,Male,Yes,Fiber optic,No,One year,Yes,Electronic check,78.9,3650.35,No
3410-YOQBQ,Female,Yes,DSL,Yes,Two year,No,Mailed check,79.2,2497.2,No
3170-NMYVV,Female,Yes,No,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No
7410-OIEDU,Male,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,79.85,887.35,No
2273-QCKXA,Male,Yes,DSL,No,Month-to-month,No,Mailed check,49.05,49.05,No
0731-EBJQB,Female,Yes,No,No internet service,One year,Yes,Electronic check,20.4,1090.65,No
1891-QRQSA,Male,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No
8028-PNXHQ,,Yes,,,Two year,Yes,Bank transfer (automatic),,1424.6,No
5630-AHZIL,Female,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No
2673-CXQEU,Female,Yes,Fiber optic,Yes,One year,No,Electronic check,110.5,6139.5,No
6416-JNVRK,Female,Yes,DSL,No,One year,No,Credit card (automatic),55.65,2688.85,No
5590-ZSKRV,Female,Yes,DSL,No,Month-to-month,No,Mailed check,54.65,482.25,No
0191-ZHSKZ,Male,Yes,DSL,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No
3887-PBQAO,,Yes,,,One year,Yes,Credit card (automatic),,1216.6,No
5919-TMRGD,,Yes,,,Month-to-month,Yes,Electronic check,,79.35,Yes
8108-UXRQN,Female,No,DSL,Yes,Month-to-month,No,Electronic check,50.55,565.35,No
9191-MYQKX,Female,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes
9919-YLNNG,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No
0318-ZOPWS,Female,Yes,,,Two year,Yes,Bank transfer (automatic),,973.35,No
4445-ZJNMU,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No
4808-YNLEU,Female,Yes,DSL,Yes,One year,Yes,Bank transfer (automatic),62.15,2215.45,No
1862-QRWPE,Female,Yes,,,Two year,No,Bank transfer (automatic),,1057,No
2796-NNUFI,,Yes,,,Two year,Yes,Mailed check,,927.1,No
3016-KSVCP,Male,No,DSL,Yes,Month-to-month,No,Mailed check,33.75,1009.25,No
4767-HZZHQ,Male,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No
2424-WVHPL,Male,Yes,,,Month-to-month,No,Electronic check,,74.7,No
7233-PAHHL,Male,Yes,DSL,Yes,Two year,Yes,Mailed check,84,5714.25,No
6067-NGCEU,,Yes,,,Month-to-month,Yes,Credit card (automatic),,7107,No
9848-JQJTX,Male,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No
8637-XJIVR,,Yes,,,Month-to-month,Yes,Electronic check,,927.35,Yes
9803-FTJCG,,Yes,,,One year,Yes,Credit card (automatic),,4748.7,No
0278-YXOOG,Male,Yes,No,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes
3212-KXOCR,Male,Yes,No,No internet service,Two year,No,Bank transfer (automatic),21,1107.2,No
4598-XLKNJ,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes
6380-ARCEH,Male,Yes,,,Month-to-month,No,Mailed check,,20.2,No
3679-XASPY,,Yes,,,Month-to-month,No,Electronic check,,19.45,No
7123-WQUHX,Male,Yes,Fiber optic,Yes,One year,No,Bank transfer (automatic),95,3605.6,No
5386-THSLQ,Female,No,DSL,Yes,One year,No,Bank transfer (automatic),45.55,3027.25,No
3192-NQECA,Male,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),110,7611.85,Yes
6180-YBIQI,Male,No,DSL,No,Month-to-month,No,Mailed check,24.3,100.2,No
6728-DKUCO,Female,Yes,Fiber optic,Yes,One year,Yes,Electronic check,104.15,7303.05,No
9750-BOOHV,Female,No,DSL,No,One year,No,Mailed check,30.15,927.65,No
8597-CWYHH,Male,Yes,Fiber optic,Yes,One year,No,Mailed check,94.35,3921.3,No
2848-YXSMW,Male,Yes,No,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No
0486-HECZI,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes
4549-ZDQYY,Female,Yes,DSL,No,One year,No,Credit card (automatic),57.95,3042.25,No
5712-AHQNN,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,91.65,3954.1,No
4846-WHAFZ,Female,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes
5256-SKJGO,Female,No,DSL,Yes,Two year,Yes,Electronic check,54.6,3423.5,No
3071-VBYPO,Male,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check,89.85,248.4,No
9560-BBZXK,Female,No,DSL,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No
5299-RULOA,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes
8402-OOOHJ,Female,Yes,No,No internet service,Two year,No,Mailed check,20.65,835.15,No
9445-ZUEQE,Male,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No
1091-SOZGA,Female,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No
2928-HLDBA,Female,Yes,No,No internet service,Month-to-month,No,Mailed check,20.7,112.75,No
0404-SWRVG,Male,Yes,Fiber optic,,Month-to-month,Yes,Electronic check,,229.55,Yes
6497-TILVL,Female,Yes,DSL,No,Month-to-month,No,Mailed check,50.7,350.35,No
7219-TLZHO,Female,Yes,No,No internet service,Month-to-month,No,Mailed check,20.85,62.9,No
4622-YNKIJ,Male,Yes,Fiber optic,Yes,Two year,Yes,Electronic check,88.95,3027.65,No
4412-YLTKF,Female,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes
6734-PSBAW,Male,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No
3930-ZGWVE,Male,Yes,No,No internet service,Month-to-month,No,Mailed check,19.75,19.75,No
2639-UGMAZ,Male,No,DSL,Yes,One year,Yes,Electronic check,56.45,3985.35,No
2876-GZYZC,Female,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,85.95,1215.65,No
6207-WIOLX,Female,No,DSL,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes
8587-XYZSF,,Yes,,,Two year,No,Bank transfer (automatic),,3260.1,No
3091-FYHKI,Male,No,DSL,No,Month-to-month,Yes,Electronic check,35.45,35.45,Yes
2372-HWUHI,Male,Yes,DSL,No,Month-to-month,No,Electronic check,44.35,81.25,Yes
7799-LGRDP,Female,Yes,No,No internet service,Two year,Yes,Credit card (automatic),25.7,1188.2,No
7850-VWJUU,Female,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),75,1778.5,No
3774-VBNXY,Female,Yes,No,No internet service,Two year,No,Mailed check,20.2,1277.75,No
6217-KDYWC,Male,Yes,No,No internet service,Two year,Yes,Mailed check,19.6,1170.55,No
0390-DCFDQ,Female,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes
3146-MSEGF,Female,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,No
4080-OGPJL,Female,Yes,DSL,No,Month-to-month,No,Electronic check,71.15,563.65,Yes
1095-WGNGG,Female,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No
2636-SJDOU,Male,Yes,Fiber optic,No,One year,Yes,Credit card (automatic),84.3,5289.05,No
1131-QQZEB,Male,Yes,No,No internet service,Two year,No,Bank transfer (automatic),23.95,1756.2,No
5716-EZXZN,Female,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,No
6837-BJYDQ,Male,Yes,No,No internet service,One year,No,Mailed check,19.6,61.35,No
2135-RXIHG,Male,Yes,DSL,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes
6440-DKQGE,Male,Yes,DSL,Yes,One year,No,Credit card (automatic),64.5,1929.95,No
3466-BYAVD,Male,Yes,DSL,No,Month-to-month,Yes,Mailed check,69.5,1071.4,No
3780-YVMFA,Female,Yes,DSL,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,No
3874-EQOEP,Male,Yes,Fiber optic,Yes,Month-to-month,No,Mailed check,95,655.5,Yes
1679-JRFBR,Female,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,No
9073-ZZIAY,Male,Yes,DSL,Yes,Two year,No,Electronic check,86.1,5215.25,No
3077-RSNTJ,Female,Yes,No,No internet service,Month-to-month,No,Mailed check,19.7,113.5,No
6551-GNYDG,Female,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,No
9167-APMXZ,,Yes,,,Month-to-month,Yes,Bank transfer (automatic),,1821.95,No
2749-CTKAJ,Male,Yes,,,One year,No,Mailed check,,419.9,No
6371-NZYEG,Male,Yes,DSL,Yes,Two year,No,Mailed check,64.25,1024,No
7554-NEWDD,Male,Yes,No,No internet service,Two year,No,Bank transfer (automatic),25.7,251.6,No
8992-VONJD,Female,Yes,DSL,No,Month-to-month,Yes,Electronic check,56,764.55,No
0867-MKZVY,Female,Yes,Fiber optic,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes
4482-EWFMI,Female,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,69.7,135.2,No
4648-YPBTM,Male,Yes,DSL,No,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No
2907-ILJBN,Female,Yes,No,No internet service,One year,No,Mailed check,20.6,233.9,No
6345-FZOQH,Male,Yes,No,No internet service,Two year,No,Mailed check,19.9,1363.45,No
3376-BMGFE,Female,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes
5997-OPVFA,Male,Yes,,,Two year,Yes,Bank transfer (automatic),,6254.45,No
3445-HXXGF,,No,,,Month-to-month,Yes,Electronic check,,2651.2,Yes
1159-WFSGR,,Yes,,,Month-to-month,No,Electronic check,,321.4,No
7654-YWJUF,Male,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic),84.25,3539.25,No
1875-QIVME,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes
6727-IOTLZ,Male,Yes,DSL,Yes,Two year,No,Mailed check,81.95,1181.75,No
0691-JVSYA,Female,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes
5918-VUKWP,Female,Yes,No,No internet service,One year,No,Bank transfer (automatic),20.55,654.55,No
1744-JHKYS,Female,Yes,No,No internet service,Month-to-month,No,Electronic check,24.7,780.2,No
2656-FMOKZ,Female,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes
2070-FNEXE,,Yes,,,Month-to-month,No,Bank transfer (automatic),,503.6,Yes
5947-SGKCL,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,No
3712-PKXZA,,Yes,,,One year,Yes,Credit card (automatic),,1252,No
6317-YPKDH,Female,No,DSL,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes
6582-OIVSP,Female,Yes,DSL,,Month-to-month,No,Mailed check,,45.3,No
9367-WXLCH,Male,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes
5524-KHNJP,Male,Yes,DSL,Yes,One year,No,Credit card (automatic),74.75,2453.3,No
1918-ZBFQJ,Female,Yes,Fiber optic,,Month-to-month,Yes,Electronic check,,1111.65,Yes
1024-GUALD,,No,,,Month-to-month,Yes,Electronic check,,24.8,Yes
4827-USJHP,Male,Yes,DSL,No,Month-to-month,Yes,Mailed check,51.8,1023.85,No
8167-GJLRN,Male,No,DSL,No,Month-to-month,No,Electronic check,30.4,82.15,No
0956-SYCWG,Female,Yes,No,,One year,No,Electronic check,,244.8,No
8017-UVSZU,Female,Yes,DSL,No,Month-to-month,No,Credit card (automatic),56.6,2379.1,No
7100-FQPRV,Male,Yes,DSL,No,One year,Yes,Credit card (automatic),71.9,3173.35,No
2472-OVKUP,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,91,531,Yes
2984-RGEYA,Female,Yes,No,No internet service,Two year,No,Bank transfer (automatic),19.75,1375.4,No
9680-NIAUV,Female,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic),109.7,8129.3,No
2146-EGVDT,Male,Yes,No,No internet service,Two year,No,Credit card (automatic),19.3,1192.7,No
2604-IJPDU,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,96.55,1901.65,No
9178-JHUVJ,Male,Yes,No,,Two year,Yes,Bank transfer (automatic),,587.4,No
6168-YBYNP,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75,No
7255-SSFBC,,Yes,,,Two year,Yes,Bank transfer (automatic),,8041.65,No
3645-DEYGF,,Yes,,,Month-to-month,No,Mailed check,,20.75,No
9323-HGFWY,Female,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),101.9,2681.15,No
8544-GOQSH,Female,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),80.05,1112.3,No
3363-DTIVD,Male,Yes,Fiber optic,Yes,Two year,No,Electronic check,105.55,7405.5,No
7018-WBJNK,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,No
9142-KZXOP,Male,Yes,Fiber optic,No,Month-to-month,No,Credit card (automatic),68.85,2958.95,No
7674-YTAFD,Female,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic),79.95,2684.85,No
6348-SNFUS,Male,No,DSL,No,Two year,Yes,Credit card (automatic),55.45,4179.2,No
1285-OKIPP,Male,Yes,Fiber optic,No,Month-to-month,No,Electronic check,79.9,79.9,Yes
7825-ECJRF,Female,Yes,,,Month-to-month,Yes,Electronic check,,1934.45,Yes
1347-KTTTA,Male,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),102.45,6654.1,No
